lin_acc_x, lin_acc_y, lin_acc_z
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.786,-0.0
8.564,4.785,-0.0
8.567,4.78,-0.0
8.57,4.773,-0.0
8.576,4.763,-0.0
8.585,4.747,-0.0
8.596,4.727,-0.0
8.61,4.702,-0.0
8.627,4.671,-0.0
8.647,4.633,-0.0
8.671,4.588,-0.0
8.697,4.539,-0.0
8.727,4.481,-0.0
8.76,4.416,-0.0
8.794,4.347,-0.0
8.832,4.269,-0.0
8.873,4.184,-0.0
8.915,4.093,-0.0
8.957,4.001,-0.0
9.001,3.901,-0.0
9.044,3.8,-0.0
9.088,3.692,-0.0
9.133,3.581,-0.0
9.175,3.471,-0.0
9.216,3.36,-0.0
9.256,3.248,-0.0
9.294,3.139,-0.0
9.331,3.027,-0.0
9.366,2.917,-0.0
9.397,2.813,-0.0
9.425,2.718,-0.0
9.452,2.624,-0.0
9.476,2.538,-0.0
9.497,2.456,-0.0
9.517,2.379,-0.0
9.534,2.31,-0.0
9.548,2.251,-0.0
9.561,2.197,-0.0
9.571,2.149,-0.0
9.581,2.109,-0.0
9.588,2.076,-0.0
9.593,2.05,-0.0
9.598,2.029,-0.0
9.601,2.014,-0.0
9.603,2.003,-0.0
9.605,1.996,-0.0
9.606,1.992,-0.0
9.606,1.99,-0.0
9.606,1.989,-0.0
9.606,1.988,-0.0
9.607,1.988,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.607,1.987,-0.0
9.606,1.988,-0.0
9.606,1.991,-0.0
9.605,1.997,-0.0
9.603,2.007,-0.0
9.6,2.021,-0.0
9.596,2.039,-0.0
9.59,2.064,-0.0
9.584,2.095,-0.0
9.575,2.134,-0.0
9.565,2.177,-0.0
9.554,2.228,-0.0
9.539,2.288,-0.0
9.524,2.352,-0.0
9.505,2.424,-0.0
9.484,2.505,-0.0
9.462,2.588,-0.0
9.436,2.68,-0.0
9.408,2.779,-0.0
9.378,2.877,-0.0
9.345,2.983,-0.0
9.309,3.094,-0.0
9.27,3.206,-0.0
9.23,3.32,-0.0
9.19,3.429,-0.0
9.148,3.54,-0.0
9.103,3.653,-0.0
9.06,3.759,-0.0
9.016,3.864,-0.0
8.971,3.967,-0.0
8.927,4.066,-0.0
8.886,4.154,-0.0
8.846,4.24,-0.0
8.807,4.321,-0.0
8.77,4.395,-0.0
8.737,4.459,-0.0
8.707,4.519,-0.0
8.679,4.573,-0.0
8.655,4.618,-0.0
8.634,4.658,-0.0
8.615,4.692,-0.0
8.601,4.718,-0.0
8.588,4.741,-0.0
8.579,4.758,-0.0
8.573,4.769,-0.0
8.568,4.777,-0.0
8.566,4.782,-0.0
8.564,4.785,-0.0
8.563,4.786,-0.0
8.563,4.786,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.786,-0.0
8.565,4.784,-0.0
8.568,4.778,-0.0
8.572,4.77,-0.0
8.579,4.757,-0.0
8.588,4.741,-0.0
8.6,4.719,-0.0
8.616,4.691,-0.0
8.634,4.658,-0.0
8.655,4.618,-0.0
8.68,4.571,-0.0
8.707,4.519,-0.0
8.738,4.459,-0.0
8.772,4.391,-0.0
8.808,4.32,-0.0
8.846,4.24,-0.0
8.888,4.152,-0.0
8.931,4.059,-0.0
8.972,3.965,-0.0
9.017,3.864,-0.0
9.062,3.757,-0.0
9.105,3.651,-0.0
9.148,3.541,-0.0
9.191,3.428,-0.0
9.233,3.313,-0.0
9.273,3.199,-0.0
9.31,3.091,-0.0
9.345,2.983,-0.0
9.377,2.88,-0.0
9.408,2.778,-0.0
9.437,2.679,-0.0
9.461,2.59,-0.0
9.484,2.504,-0.0
9.506,2.423,-0.0
9.523,2.353,-0.0
9.539,2.288,-0.0
9.553,2.228,-0.0
9.566,2.174,-0.0
9.576,2.131,-0.0
9.583,2.096,-0.0
9.591,2.059,-0.0
9.596,2.037,-0.0
9.6,2.021,-0.0
9.602,2.009,-0.0
9.604,2.0,-0.0
9.605,1.994,-0.0
9.606,1.99,-0.0
9.606,1.989,-0.0
9.606,1.989,-0.0
9.605,1.994,-0.0
9.602,2.009,-0.0
9.597,2.035,0.0
9.592,2.06,0.0
9.587,2.084,0.0
9.58,2.114,0.0
9.575,2.138,0.001
9.57,2.165,0.001
9.569,2.172,0.001
9.578,2.128,0.001
9.571,2.16,0.001
9.544,2.293,0.003
9.527,2.376,0.004
9.533,2.347,0.003
9.53,2.365,0.004
9.504,2.493,0.006
9.499,2.521,0.006
9.533,2.358,0.003
9.541,2.32,0.003
9.511,2.469,0.006
9.55,2.279,0.002
9.58,2.135,0.001
9.549,2.291,0.005
9.6,2.034,-0.002
9.633,1.871,-0.002
9.591,2.081,0.004
9.63,1.889,-0.002
9.649,1.794,-0.002
9.599,2.045,0.004
9.634,1.868,-0.002
9.652,1.777,-0.002
9.629,1.894,0.001
9.634,1.866,-0.0
9.605,2.013,0.003
9.61,1.992,0.001
9.632,1.876,-0.001
9.659,1.741,-0.003
9.66,1.731,-0.001
9.612,1.98,0.004
9.644,1.817,-0.002
9.661,1.725,-0.002
9.613,1.978,0.004
9.62,1.941,0.001
9.665,1.703,-0.004
9.664,1.711,-0.001
9.62,1.942,0.004
9.649,1.786,-0.002
9.668,1.689,-0.002
9.62,1.941,0.004
9.628,1.898,0.001
9.68,1.622,-0.004
9.692,1.556,-0.003
9.664,1.707,0.001
9.682,1.608,-0.002
9.731,1.337,-0.007
9.741,1.285,-0.005
9.716,1.414,-0.002
9.731,1.331,-0.004
9.75,1.228,-0.005
9.727,1.349,-0.002
9.729,1.338,-0.003
9.735,1.302,-0.004
9.717,1.399,-0.002
9.706,1.456,-0.002
9.704,1.469,-0.002
9.697,1.509,-0.001
9.688,1.553,-0.001
9.685,1.569,-0.001
9.684,1.577,-0.001
9.679,1.602,-0.0
9.675,1.625,-0.0
9.671,1.646,-0.0
9.667,1.673,-0.0
9.661,1.704,-0.0
9.657,1.728,-0.0
9.654,1.742,-0.0
9.652,1.754,-0.0
9.65,1.764,-0.0
9.648,1.775,-0.0
9.644,1.796,-0.0
9.639,1.825,-0.0
9.632,1.859,-0.0
9.625,1.895,-0.0
9.616,1.942,-0.0
9.606,1.988,-0.0
9.594,2.046,-0.0
9.58,2.113,-0.0
9.562,2.19,-0.0
9.545,2.264,-0.0
9.525,2.347,-0.0
9.501,2.439,-0.0
9.477,2.533,-0.0
9.45,2.633,-0.0
9.419,2.739,-0.0
9.389,2.842,-0.0
9.355,2.951,-0.0
9.319,3.063,-0.0
9.283,3.17,-0.0
9.245,3.279,-0.0
9.205,3.389,-0.0
9.164,3.497,-0.0
9.126,3.598,-0.0
9.086,3.697,-0.0
9.047,3.79,-0.0
9.009,3.881,-0.0
8.971,3.967,-0.0
8.936,4.047,-0.0
8.903,4.118,-0.0
8.873,4.184,-0.0
8.844,4.244,-0.0
8.819,4.296,-0.0
8.796,4.342,-0.0
8.776,4.383,-0.0
8.759,4.417,-0.0
8.745,4.445,-0.0
8.734,4.467,-0.0
8.726,4.483,-0.0
8.719,4.495,-0.0
8.715,4.504,-0.0
8.712,4.509,-0.0
8.711,4.512,-0.0
8.71,4.513,-0.0
8.71,4.514,-0.0
8.71,4.514,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.71,4.514,-0.0
8.711,4.512,-0.0
8.713,4.507,-0.0
8.717,4.5,-0.0
8.723,4.489,-0.0
8.731,4.473,-0.0
8.743,4.449,-0.0
8.756,4.423,-0.0
8.771,4.394,-0.0
8.79,4.356,-0.0
8.812,4.31,-0.0
8.837,4.26,-0.0
8.864,4.203,-0.0
8.893,4.14,-0.0
8.926,4.069,-0.0
8.961,3.991,-0.0
8.999,3.906,-0.0
9.035,3.82,-0.0
9.074,3.726,-0.0
9.113,3.63,-0.0
9.153,3.527,-0.0
9.194,3.42,-0.0
9.234,3.311,-0.0
9.271,3.205,-0.0
9.308,3.096,-0.0
9.343,2.988,-0.0
9.378,2.879,-0.0
9.41,2.769,-0.0
9.441,2.664,-0.0
9.468,2.565,-0.0
9.493,2.473,-0.0
9.517,2.377,-0.0
9.54,2.282,-0.0
9.559,2.204,-0.0
9.575,2.133,-0.0
9.589,2.068,-0.0
9.602,2.007,-0.0
9.614,1.952,-0.0
9.623,1.907,-0.0
9.631,1.867,-0.0
9.637,1.833,-0.0
9.642,1.806,-0.0
9.646,1.786,-0.0
9.649,1.77,-0.0
9.651,1.759,-0.0
9.652,1.751,-0.0
9.653,1.747,-0.0
9.654,1.745,-0.0
9.654,1.744,-0.0
9.654,1.743,-0.0
9.654,1.744,-0.0
9.653,1.746,-0.0
9.652,1.752,-0.0
9.65,1.762,-0.0
9.648,1.777,-0.0
9.644,1.794,-0.0
9.64,1.818,-0.0
9.634,1.85,-0.0
9.627,1.887,-0.0
9.618,1.93,-0.0
9.609,1.977,-0.0
9.596,2.035,-0.0
9.582,2.101,-0.0
9.566,2.173,-0.0
9.549,2.248,-0.0
9.529,2.332,-0.0
9.506,2.423,-0.0
9.482,2.515,-0.0
9.455,2.614,-0.0
9.425,2.72,-0.0
9.393,2.828,-0.0
9.361,2.933,-0.0
9.325,3.043,-0.0
9.29,3.15,-0.0
9.252,3.26,-0.0
9.212,3.37,-0.0
9.172,3.479,-0.0
9.126,3.598,-0.0
9.09,3.686,-0.0
9.053,3.776,-0.0
9.014,3.869,-0.0
8.977,3.954,-0.0
8.942,4.034,-0.0
8.908,4.109,-0.0
8.877,4.174,-0.0
8.849,4.234,-0.0
8.823,4.287,-0.0
8.798,4.338,-0.0
8.777,4.381,-0.0
8.762,4.412,-0.0
8.748,4.439,-0.0
8.736,4.462,-0.0
8.727,4.481,-0.0
8.72,4.494,-0.0
8.716,4.503,-0.0
8.713,4.508,-0.0
8.711,4.511,-0.0
8.71,4.513,-0.0
8.71,4.514,-0.0
8.71,4.514,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.709,4.515,-0.0
8.71,4.514,-0.0
8.711,4.511,-0.0
8.714,4.506,-0.0
8.718,4.498,-0.0
8.725,4.485,-0.0
8.733,4.469,-0.0
8.743,4.449,-0.0
8.757,4.422,-0.0
8.774,4.388,-0.0
8.793,4.35,-0.0
8.815,4.304,-0.0
8.84,4.254,-0.0
8.868,4.195,-0.0
8.899,4.129,-0.0
8.932,4.056,-0.0
8.966,3.98,-0.0
9.003,3.896,-0.0
9.04,3.809,-0.0
9.079,3.714,-0.0
9.12,3.613,-0.0
9.161,3.509,-0.0
9.199,3.406,-0.0
9.238,3.299,-0.0
9.279,3.182,-0.0
9.314,3.077,-0.0
9.349,2.971,-0.0
9.385,2.853,-0.0
9.416,2.748,-0.0
9.448,2.64,-0.0
9.474,2.544,-0.0
9.498,2.454,-0.0
9.523,2.355,-0.0
9.544,2.268,-0.0
9.562,2.19,-0.0
9.577,2.123,-0.0
9.592,2.057,-0.0
9.604,1.996,-0.0
9.616,1.941,-0.0
9.624,1.899,-0.0
9.632,1.861,-0.0
9.638,1.829,-0.0
9.643,1.803,-0.0
9.646,1.784,-0.0
9.649,1.768,-0.0
9.652,1.756,-0.0
9.653,1.75,-0.0
9.653,1.747,-0.0
9.654,1.745,-0.0
9.654,1.744,-0.0
9.654,1.742,-0.0
9.655,1.74,-0.0
9.655,1.736,-0.0
9.656,1.733,-0.0
9.656,1.732,0.0
9.655,1.735,0.0
9.654,1.744,0.0
9.651,1.76,0.0
9.647,1.781,0.0
9.643,1.806,0.0
9.638,1.833,0.0
9.632,1.868,0.0
9.62,1.928,0.0
9.611,1.976,0.0
9.604,2.015,0.0
9.591,2.077,0.0
9.574,2.158,0.0
9.557,2.233,0.0
9.545,2.289,0.0
9.529,2.359,0.0
9.503,2.463,0.0
9.48,2.556,0.0
9.464,2.615,0.0
9.434,2.722,0.0
9.4,2.843,-0.0
9.376,2.922,0.0
9.349,3.006,0.0
9.328,3.071,0.0
9.308,3.132,0.0
9.263,3.266,-0.0
9.212,3.408,-0.0
9.206,3.424,0.0
9.18,3.489,0.0
9.136,3.607,-0.0
9.117,3.654,0.0
9.086,3.73,0.0
9.035,3.853,-0.0
8.996,3.944,-0.0
8.969,4.004,0.0
8.935,4.081,0.0
8.91,4.135,0.0
8.863,4.234,-0.0
8.812,4.341,-0.0
8.795,4.376,0.0
8.745,4.473,-0.0
8.692,4.578,-0.0
8.674,4.611,0.0
8.635,4.684,0.0
8.566,4.81,-0.0
8.519,4.895,-0.0
8.503,4.921,0.0
8.446,5.018,-0.0
8.384,5.122,-0.0
8.353,5.172,0.0
8.306,5.247,-0.0
8.278,5.291,0.0
8.214,5.391,-0.0
8.147,5.493,-0.0
8.227,5.377,0.002
8.2,5.419,0.001
7.84,5.935,-0.003
7.756,6.051,-0.001
7.969,5.745,0.002
7.897,5.842,0.0
7.831,5.938,0.0
7.755,6.033,-0.0
7.6,6.232,-0.001
7.686,6.124,0.001
7.676,6.134,0.001
7.472,6.386,-0.001
7.393,6.478,-0.0
7.378,6.491,0.0
7.453,6.407,0.001
7.367,6.503,0.0
7.093,6.808,-0.002
7.062,6.839,-0.0
7.147,6.743,0.001
7.104,6.788,0.0
6.985,6.912,-0.0
6.858,7.04,-0.001
6.779,7.115,-0.0
6.756,7.134,-0.0
6.689,7.195,-0.0
6.593,7.282,-0.001
6.541,7.327,-0.0
6.517,7.345,-0.0
6.483,7.373,-0.0
6.461,7.39,-0.0
6.44,7.406,-0.0
6.413,7.428,-0.0
6.401,7.437,-0.0
6.397,7.44,-0.0
6.399,7.437,-0.0
6.396,7.439,-0.0
6.393,7.441,-0.0
6.392,7.442,-0.0
6.393,7.441,-0.0
6.397,7.437,-0.0
6.404,7.432,-0.0
6.411,7.426,-0.0
6.416,7.421,-0.0
6.419,7.419,-0.0
6.419,7.419,-0.0
6.416,7.421,-0.0
6.412,7.424,-0.0
6.407,7.429,-0.0
6.399,7.435,-0.0
6.39,7.444,-0.0
6.379,7.453,-0.0
6.365,7.465,-0.0
6.349,7.478,-0.0
6.331,7.494,-0.0
6.311,7.51,-0.0
6.288,7.529,-0.0
6.265,7.549,-0.0
6.238,7.571,-0.0
6.209,7.595,-0.0
6.178,7.621,-0.0
6.145,7.647,-0.0
6.113,7.673,-0.0
6.078,7.7,-0.0
6.044,7.727,-0.0
6.009,7.754,-0.0
5.973,7.782,-0.0
5.938,7.809,-0.0
5.905,7.834,-0.0
5.871,7.859,-0.0
5.839,7.883,-0.0
5.81,7.905,-0.0
5.781,7.926,-0.0
5.754,7.945,-0.0
5.731,7.962,-0.0
5.708,7.978,-0.0
5.688,7.992,-0.0
5.671,8.005,-0.0
5.656,8.015,-0.0
5.643,8.024,-0.0
5.632,8.032,-0.0
5.623,8.039,-0.0
5.617,8.043,-0.0
5.612,8.046,-0.0
5.609,8.048,-0.0
5.607,8.049,-0.0
5.606,8.05,-0.0
5.606,8.05,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.05,-0.0
5.607,8.05,-0.0
5.609,8.048,-0.0
5.613,8.046,-0.0
5.618,8.042,-0.0
5.624,8.038,-0.0
5.633,8.032,-0.0
5.643,8.024,-0.0
5.656,8.015,-0.0
5.671,8.004,-0.0
5.689,7.992,-0.0
5.71,7.977,-0.0
5.732,7.961,-0.0
5.756,7.944,-0.0
5.782,7.925,-0.0
5.81,7.904,-0.0
5.84,7.882,-0.0
5.872,7.859,-0.0
5.905,7.834,-0.0
5.938,7.809,-0.0
5.972,7.783,-0.0
6.008,7.755,-0.0
6.045,7.726,-0.0
6.079,7.699,-0.0
6.113,7.672,-0.0
6.147,7.645,-0.0
6.178,7.62,-0.0
6.209,7.595,-0.0
6.238,7.571,-0.0
6.264,7.549,-0.0
6.289,7.529,-0.0
6.312,7.509,-0.0
6.332,7.493,-0.0
6.35,7.477,-0.0
6.366,7.464,-0.0
6.38,7.452,-0.0
6.391,7.443,-0.0
6.4,7.435,-0.0
6.407,7.428,-0.0
6.413,7.424,-0.0
6.417,7.42,-0.0
6.419,7.418,-0.0
6.421,7.417,-0.0
6.421,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.421,7.417,-0.0
6.42,7.418,-0.0
6.417,7.42,-0.0
6.414,7.423,-0.0
6.409,7.427,-0.0
6.402,7.433,-0.0
6.393,7.44,-0.0
6.383,7.45,-0.0
6.37,7.461,-0.0
6.355,7.473,-0.0
6.337,7.488,-0.0
6.318,7.505,-0.0
6.288,7.53,-0.0
6.269,7.546,-0.0
6.244,7.566,-0.0
6.218,7.588,-0.0
6.189,7.612,-0.0
6.158,7.636,-0.0
6.124,7.664,-0.0
6.09,7.69,-0.0
6.055,7.718,-0.0
6.02,7.746,-0.0
5.985,7.773,-0.0
5.95,7.8,-0.0
5.915,7.826,-0.0
5.883,7.851,-0.0
5.85,7.875,-0.0
5.819,7.898,-0.0
5.788,7.92,-0.0
5.763,7.939,-0.0
5.738,7.957,-0.0
5.716,7.973,-0.0
5.695,7.988,-0.0
5.676,8.001,-0.0
5.66,8.012,-0.0
5.647,8.022,-0.0
5.636,8.03,-0.0
5.626,8.036,-0.0
5.619,8.041,-0.0
5.614,8.045,-0.0
5.61,8.047,-0.0
5.608,8.049,-0.0
5.607,8.05,-0.0
5.606,8.05,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.05,-0.0
5.608,8.049,-0.0
5.61,8.048,-0.0
5.614,8.045,-0.0
5.619,8.041,-0.0
5.626,8.036,-0.0
5.635,8.03,-0.0
5.647,8.022,-0.0
5.66,8.012,-0.0
5.676,8.001,-0.0
5.694,7.988,-0.0
5.714,7.974,-0.0
5.737,7.958,-0.0
5.762,7.94,-0.0
5.789,7.92,-0.0
5.824,7.894,-0.0
5.852,7.873,-0.0
5.88,7.852,-0.0
5.912,7.829,-0.0
5.946,7.802,-0.0
5.982,7.775,-0.0
6.022,7.744,-0.0
6.053,7.72,-0.0
6.087,7.693,-0.0
6.121,7.666,-0.0
6.157,7.637,-0.0
6.189,7.611,-0.0
6.217,7.589,-0.0
6.245,7.566,-0.0
6.271,7.544,-0.0
6.296,7.523,-0.0
6.318,7.504,-0.0
6.337,7.489,-0.0
6.354,7.474,-0.0
6.369,7.461,-0.0
6.382,7.45,-0.0
6.393,7.441,-0.0
6.402,7.433,-0.0
6.409,7.427,-0.0
6.414,7.423,-0.0
6.417,7.42,-0.0
6.42,7.418,-0.0
6.421,7.417,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.423,7.415,-0.0
6.43,7.409,-0.0
6.445,7.396,0.0
6.467,7.377,0.0
6.491,7.356,0.0
6.523,7.329,0.0
6.566,7.291,0.0
6.659,7.21,0.001
6.757,7.125,0.001
6.867,7.029,0.002
6.986,6.925,0.003
7.017,6.897,0.003
6.923,6.978,0.002
7.003,6.906,0.003
7.112,6.81,0.003
6.888,7.004,0.0
6.933,6.963,0.004
7.069,6.842,0.004
6.956,6.938,0.001
6.714,7.149,-0.002
6.783,7.087,0.002
6.912,6.972,0.002
6.517,7.32,-0.006
6.521,7.315,0.002
6.657,7.195,0.004
6.315,7.499,-0.007
6.321,7.494,-0.002
6.453,7.378,0.001
6.108,7.688,-0.007
6.233,7.576,0.002
6.226,7.586,-0.001
5.967,7.82,-0.007
6.08,7.72,-0.0
6.04,7.758,-0.002
6.126,7.682,-0.0
6.037,7.764,-0.002
6.003,7.796,-0.002
6.169,7.647,0.001
6.148,7.667,-0.001
6.183,7.636,-0.001
6.282,7.546,-0.0
6.359,7.477,-0.0
6.418,7.424,-0.0
6.478,7.369,-0.0
6.517,7.333,-0.0
6.542,7.311,-0.0
6.564,7.29,-0.0
6.584,7.273,-0.0
6.594,7.263,-0.0
6.596,7.262,-0.0
6.593,7.264,-0.0
6.588,7.268,-0.0
6.582,7.275,-0.0
6.573,7.283,-0.0
6.561,7.293,-0.0
6.545,7.307,-0.0
6.529,7.322,-0.0
6.508,7.34,-0.0
6.487,7.359,-0.0
6.463,7.38,-0.0
6.434,7.405,-0.0
6.403,7.432,-0.0
6.371,7.459,-0.0
6.338,7.488,-0.0
6.301,7.519,-0.0
6.264,7.55,-0.0
6.224,7.583,-0.0
6.183,7.616,-0.0
6.141,7.65,-0.0
6.101,7.682,-0.0
6.06,7.714,-0.0
6.021,7.745,-0.0
5.982,7.775,-0.0
5.945,7.803,-0.0
5.909,7.83,-0.0
5.876,7.856,-0.0
5.846,7.878,-0.0
5.818,7.899,-0.0
5.792,7.917,-0.0
