lin_acc_x, lin_acc_y, lin_acc_z
6.469,7.386,-0.0
6.461,7.39,-0.0
6.44,7.406,-0.0
6.411,7.431,-0.0
6.4,7.439,-0.0
6.404,7.434,-0.0
6.403,7.434,-0.0
6.394,7.441,-0.0
6.39,7.444,-0.0
6.391,7.443,-0.0
6.394,7.441,-0.0
6.398,7.437,-0.0
6.404,7.432,-0.0
6.41,7.426,-0.0
6.416,7.421,-0.0
6.419,7.419,-0.0
6.419,7.419,-0.0
6.417,7.42,-0.0
6.413,7.424,-0.0
6.408,7.428,-0.0
6.4,7.434,-0.0
6.391,7.442,-0.0
6.38,7.452,-0.0
6.367,7.463,-0.0
6.351,7.477,-0.0
6.334,7.491,-0.0
6.314,7.508,-0.0
6.292,7.526,-0.0
6.268,7.546,-0.0
6.241,7.569,-0.0
6.213,7.591,-0.0
6.183,7.616,-0.0
6.15,7.643,-0.0
6.117,7.669,-0.0
6.084,7.695,-0.0
6.04,7.73,-0.0
6.008,7.755,-0.0
5.976,7.78,-0.0
5.942,7.806,-0.0
5.908,7.831,-0.0
5.872,7.858,-0.0
5.842,7.881,-0.0
5.811,7.904,-0.0
5.784,7.924,-0.0
5.758,7.942,-0.0
5.732,7.961,-0.0
5.708,7.978,-0.0
5.69,7.991,-0.0
5.673,8.003,-0.0
5.658,8.014,-0.0
5.644,8.023,-0.0
5.634,8.031,-0.0
5.625,8.037,-0.0
5.618,8.042,-0.0
5.613,8.045,-0.0
5.61,8.048,-0.0
5.608,8.049,-0.0
5.607,8.05,-0.0
5.606,8.05,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
